Chromosome,Start,End,Number of healthy samples with peak (out of 26 total),Overlaps validated VISTA heart enhancer
chr1,4528806,4531418,11,.
chr1,5659095,5662337,6,.
chr1,5887756,5890769,2,.
chr1,5999763,6017986,26,.
chr1,6018506,6020351,7,.
chr1,6097312,6099223,6,.
chr1,6274204,6278043,20,.
chr1,6346946,6351094,17,.
chr1,6500252,6504248,10,.
chr1,6670110,6677288,16,.
chr1,6683338,6693255,12,.
chr1,6742189,6746239,26,.
chr1,6788362,6791950,3,.
chr1,6792413,6805067,16,.
chr1,6810874,6813224,9,.
chr1,6856412,6861441,9,.
chr1,6959443,6964788,10,.
chr1,7011046,7016360,21,.
chr1,7120363,7123060,6,.
chr1,7148723,7150846,20,.
chr1,7172408,7173388,2,.
chr1,7290139,7294313,21,.
chr1,7298187,7301084,2,.
chr1,7344455,7347823,6,.
chr1,7361469,7371720,23,.
chr1,7386655,7392578,23,.
chr1,7470255,7472198,3,.
chr1,7476863,7479845,12,.
chr1,7490745,7492460,2,.
chr1,7515824,7522413,20,.
chr1,7541952,7544954,5,.
chr1,7554298,7555294,2,.
chr1,7613256,7619181,18,.
chr1,7642296,7650144,22,.
chr1,7678665,7681010,7,.
chr1,7718945,7723863,10,.
chr1,7725650,7728397,10,.
chr1,7982375,7984136,2,.
chr1,8001263,8011516,25,.
chr1,8039053,8042914,13,.
chr1,8045046,8050354,25,.
chr1,8060534,8063955,4,.
chr1,8073201,8087461,24,.
chr1,8089010,8092332,8,.
chr1,8093818,8099116,23,.
chr1,8112324,8123694,24,.
chr1,8127020,8127733,2,.
chr1,8130217,8139313,24,.
chr1,8168038,8171896,20,.
chr1,8180703,8184834,19,.
chr1,8211050,8212591,8,.
chr1,8214475,8219467,9,.
chr1,8224360,8225722,2,.
chr1,8237874,8239638,3,.
chr1,8266198,8267931,4,.
chr1,8341665,8346849,12,.
chr1,8388836,8403765,7,.
chr1,8404071,8414208,2,.
chr1,8434211,8441637,8,.
chr1,8447245,8469396,25,.
chr1,8491463,8500371,8,.
chr1,8503213,8520995,19,.
chr1,8559034,8574259,21,.
chr1,8595129,8605008,18,.
chr1,8625839,8633475,14,.
chr1,8637083,8655166,26,.
chr1,8657692,8672640,25,.
chr1,8686217,8688277,5,.
chr1,8710814,8714724,18,.
chr1,8736666,8739070,2,.
chr1,8820614,8825003,17,.
chr1,8825790,8826365,2,.
chr1,8847427,8850230,11,.
chr1,8854303,8867344,19,.
chr1,8886537,8892600,25,.
chr1,8905553,8906317,4,.
chr1,8937134,8939873,7,.
chr1,8985062,8990569,21,.
chr1,9010010,9012292,3,.
chr1,9028571,9032604,14,.
chr1,9064056,9068269,9,.
chr1,9082545,9086361,9,.
chr1,9105095,9108852,3,.
chr1,9116582,9123165,12,.
chr1,9145908,9155368,25,.
chr1,9160439,9167384,23,.
chr1,9246328,9255979,3,.
chr1,9280107,9281003,2,.
chr1,9299965,9306445,18,.
chr1,9324232,9326908,2,.
chr1,9337155,9342854,3,.
chr1,9362602,9364051,2,.
chr1,9369366,9389293,24,.
chr1,9396894,9403230,24,.
chr1,9409546,9417102,26,.
chr1,9427242,9431695,26,.
chr1,9432582,9445884,24,.
chr1,9447206,9451244,10,.
chr1,9465972,9468262,6,.
chr1,9471407,9473996,2,.
chr1,9530978,9533626,7,.
chr1,9541741,9543748,9,.
chr1,9544681,9564553,24,.
chr1,9591077,9594727,3,.
chr1,9689188,9690709,2,.
chr1,9755176,9756765,3,.
chr1,9758506,9760977,5,.
chr1,9794602,9800245,2,.
chr1,9841998,9850124,4,.
chr1,9858736,9860357,2,.
chr1,9897804,9908006,7,.
chr1,9920249,9923925,11,.
chr1,9927859,9931147,13,.
chr1,9949170,9953096,10,.
chr1,9982268,9986372,8,.
chr1,9987169,9995733,18,.
chr1,10005949,10009042,2,.
chr1,10043847,10078913,26,.
chr1,10151301,10157254,10,.
chr1,10159683,10163353,5,.
chr1,10215332,10220728,3,.
chr1,10248163,10260368,18,.
chr1,10266702,10268764,4,.
chr1,10283494,10290125,2,.
chr1,10301043,10313248,13,.
chr1,10337141,10341179,18,.
chr1,10360227,10362680,4,.
chr1,10376801,10379622,4,.
chr1,10385432,10390298,21,.
chr1,10494098,10498723,11,.
chr1,10507062,10512442,3,.
chr1,10526495,10533428,22,.
chr1,10536898,10542443,17,.
chr1,10555399,10557066,2,.
chr1,10591372,10596484,2,.
chr1,10610796,10613102,2,.
chr1,10627654,10630168,6,.
chr1,10632063,10636623,4,.
chr1,10639775,10641922,3,.
chr1,10662432,10672127,3,.
chr1,10672981,10690568,2,.
chr1,10708628,10783387,23,yes
chr1,10814362,10826350,25,.
chr1,10856438,10866712,21,.
chr1,10954846,10961469,15,.
chr1,11037866,11038522,3,.
chr1,11146131,11160009,16,.
chr1,11175500,11181080,3,.
chr1,11234991,11239334,12,.
chr1,11279937,11282780,4,.
chr1,11483826,11484897,4,.
chr1,11592368,11597396,13,.
chr1,11707325,11709348,12,.
chr1,11718771,11720158,4,.
chr1,11728750,11733631,18,.
chr1,11821085,11822759,3,.
chr1,11836238,11844918,9,.
chr1,11870893,11890356,26,yes
chr1,11905341,11912473,26,.
chr1,11913544,11922758,20,.
chr1,11927997,11933037,2,.
chr1,11936507,11942632,4,.
chr1,11998759,12008544,8,.
chr1,12009265,12017380,8,.
chr1,12033991,12035521,2,.
chr1,12051186,12054587,19,.
chr1,12067737,12068671,2,.
chr1,12074708,12076608,3,.
chr1,12111748,12114488,5,.
chr1,12129265,12137862,10,.
chr1,12138743,12155187,25,.
chr1,12157635,12165351,26,.
chr1,12171424,12190079,4,.
chr1,12326034,12327804,2,.
chr1,12379112,12384338,7,.
chr1,12419464,12463320,26,.
chr1,12467312,12492589,24,.
chr1,12507101,12515716,9,.
chr1,12518184,12521076,2,.
chr1,12538213,12545129,10,.
chr1,12545747,12559408,23,.
chr1,12563063,12583346,22,.
chr1,12621458,12623608,2,.
chr1,12632225,12640010,26,.
chr1,12677190,12678583,9,.
chr1,13456816,13457755,3,.
chr1,13485649,13489870,11,.
chr1,13490534,13493486,2,.
chr1,13520737,13525719,6,.
chr1,13527739,13530277,10,.
chr1,13533225,13545310,25,.
chr1,13591548,13595754,23,.
chr1,13598721,13603015,17,.
chr1,13618979,13620717,3,.
chr1,13751909,13761822,15,.
chr1,13788500,13798481,19,.
chr1,13944998,13953779,21,.
chr1,14139443,14143165,6,.
chr1,14237211,14240683,6,.
chr1,14257974,14260619,5,.
chr1,14303088,14307438,9,.
chr1,14361789,14366948,4,.
chr1,14515789,14524453,9,.
chr1,14660287,14662774,5,.
chr1,14938987,14941937,12,.
chr1,14967261,14970901,11,.
chr1,15006170,15010192,12,.
chr1,15019287,15025345,12,.
chr1,15066136,15070341,6,.
chr1,15138997,15142788,7,.
chr1,15158650,15159997,2,.
chr1,15174774,15181496,13,.
chr1,15207679,15219291,5,.
chr1,15220084,15227577,5,.
chr1,15257619,15262684,3,.
chr1,15281381,15284992,21,.
chr1,15328121,15331341,17,.
chr1,15334077,15340532,25,.
chr1,15369196,15372934,15,.
chr1,15411759,15417952,3,.
chr1,15488193,15493924,19,.
chr1,15595833,15599822,4,.
chr1,15600948,15605524,26,.
chr1,15626414,15628971,2,.
chr1,15654587,15658088,3,.
chr1,15660900,15664839,7,.
chr1,15688581,15699041,17,.
chr1,15699653,15725205,22,.
chr1,15798713,15801280,8,.
chr1,15815722,15816137,3,.
chr1,15828260,15840030,26,.
chr1,15842181,15845794,12,.
chr1,15879139,15908097,25,.
chr1,15948392,15951692,2,.
chr1,15962341,15970282,18,.
chr1,16066647,16070541,14,.
chr1,16074878,16090199,15,.
chr1,16122957,16132428,10,.
chr1,16164123,16167426,8,.
chr1,16172015,16185544,26,.
chr1,16214356,16220360,19,.
chr1,16225852,16228582,5,.
chr1,16255962,16270423,13,.
chr1,16290227,16295306,2,.
chr1,16323581,16325677,2,.
chr1,16332310,16344753,13,.
chr1,16370206,16381841,21,.
chr1,16382743,16395179,22,.
chr1,16496834,16501110,24,.
chr1,16642885,16645764,25,.
chr1,16882713,16884473,4,.
chr1,16894558,16899603,25,.
chr1,16900117,16901082,2,.
chr1,16912459,16916839,25,.
chr1,16959374,16961406,3,.
chr1,17062741,17064461,5,.
chr1,17418721,17420980,22,.
chr1,17422338,17429015,21,.
chr1,17474627,17477712,9,.
chr1,17502274,17503376,2,.
chr1,17526535,17535388,24,.
chr1,17542456,17578855,26,.
chr1,17584697,17600793,16,.
chr1,17603630,17607969,11,.
chr1,17628302,17632802,2,.
chr1,17651793,17655871,4,.
chr1,17767971,17769852,2,.
chr1,17818222,17819962,3,.
chr1,17827900,17830178,7,.
chr1,17871927,17883186,15,.
chr1,17889081,17894623,22,.
chr1,17930026,17932190,9,.
chr1,18117848,18118769,2,.
chr1,18158741,18162985,6,.
chr1,18163746,18167299,3,.
chr1,18188552,18189495,4,.
chr1,18904319,18910812,19,.
chr1,18938684,18953156,20,.
chr1,19053462,19056606,3,.
chr1,19072893,19075689,2,.
chr1,19084220,19089668,12,.
chr1,19119919,19125933,11,.
chr1,19138044,19144406,10,.
chr1,19194175,19202750,4,.
chr1,19230591,19235963,14,.
chr1,19363739,19378526,7,.
chr1,19387856,19394606,16,.
chr1,19398154,19416000,5,.
chr1,19421160,19482815,23,.
chr1,19490126,19497789,25,.
chr1,19498152,19517502,26,.
chr1,19528246,19535134,19,.
chr1,19561817,19566984,26,.
chr1,19602743,19624761,17,.
chr1,19734883,19737132,6,.
chr1,19918201,19920060,4,.
chr1,19962127,19973380,25,.
chr1,20007075,20011175,16,.
chr1,20076149,20098872,17,.
chr1,20163406,20166399,7,.
chr1,20194634,20195944,4,.
chr1,20219465,20220706,3,.
chr1,20261155,20267670,21,.
chr1,20281250,20283538,3,.
chr1,20307680,20309657,7,.
chr1,20354806,20362275,20,.
chr1,20365395,20367275,2,.
chr1,20406246,20406911,2,.
chr1,20491559,20495569,7,.
chr1,20533760,20535502,7,.
chr1,20553967,20557007,6,.
chr1,20595248,20601250,6,.
chr1,20602998,20610226,23,.
chr1,20611947,20621239,25,.
chr1,20695751,20697416,2,.
chr1,20764632,20768146,2,.
chr1,20961834,20966309,3,.
chr1,21018596,21023501,26,.
chr1,21147328,21154992,24,.
chr1,21170186,21172564,8,.
chr1,21250327,21253563,9,.
chr1,21257846,21271957,6,.
chr1,21301979,21311809,3,.
chr1,21312272,21329716,14,.
chr1,21330835,21336393,2,.
chr1,21511235,21512345,2,.
chr1,21523934,21525663,8,.
chr1,21532595,21547112,26,.
chr1,21552302,21554329,18,.
chr1,21582948,21588543,14,.
chr1,21637297,21642420,18,.
chr1,21671021,21675141,12,.
chr1,21750956,21753569,4,.
chr1,21758610,21769910,20,.
chr1,21856825,21862258,4,.
chr1,21865694,21872633,5,.
chr1,21946503,21948099,6,.
chr1,21950461,21963931,22,.
chr1,22018708,22020187,4,.
chr1,22036544,22041760,16,.
chr1,22110759,22115953,3,.
chr1,22417115,22420791,18,.
chr1,22441959,22449629,9,.
chr1,22467607,22476843,5,.
chr1,22486138,22490243,8,.
chr1,22498224,22502267,2,.
chr1,22529502,22532391,3,.
chr1,22581667,22584923,16,.
chr1,22749353,22751954,10,.
chr1,22807033,22810093,4,.
chr1,22824840,22830209,23,.
chr1,22840223,22842751,9,.
chr1,22919750,22923344,22,.
chr1,23083344,23085425,2,.
chr1,23097348,23106810,22,.
chr1,23118097,23124789,12,.
chr1,23224465,23226840,12,.
chr1,23355844,23359132,3,.
chr1,23381900,23386261,3,.
chr1,23391465,23411212,26,.
chr1,23443454,23445952,7,.
chr1,23455647,23459858,7,.
chr1,23467402,23476976,15,.
chr1,23544159,23549714,6,.
chr1,23565821,23579549,8,.
chr1,23587926,23593396,3,.
chr1,23633992,23636636,16,.
chr1,23643822,23644960,2,.
chr1,23649571,23653516,16,.
chr1,23726750,23729377,4,.
chr1,23750482,23766149,14,.
chr1,23767710,23770677,5,.
chr1,23846867,23851104,22,.
chr1,23916134,23924650,25,.
chr1,23954604,23956140,9,.
chr1,23962565,23969080,9,.
chr1,23983184,23984877,2,.
chr1,24011112,24025073,26,.
chr1,24045631,24047919,3,.
chr1,24087358,24106792,2,.
chr1,24118688,24122931,23,.
chr1,24123004,24128889,23,.
chr1,24235689,24237274,3,.
chr1,24289429,24291110,5,.
chr1,24368335,24369935,3,.
chr1,24426647,24429470,3,.
chr1,24435986,24440215,24,.
chr1,24582862,24586299,10,.
chr1,24680080,24689360,13,.
chr1,24690949,24699941,26,.
chr1,24701969,24712237,25,.
chr1,24713100,24731419,25,.
chr1,24733225,24739179,25,.
chr1,24748353,24798788,26,.
chr1,24800960,24812657,19,.
chr1,24813873,24815986,2,.
chr1,24820208,24832193,9,.
chr1,24846925,24850739,16,.
chr1,25022006,25023741,4,.
chr1,25105042,25105612,2,.
chr1,25235036,25242216,19,.
chr1,25328985,25331594,4,.
chr1,25355078,25362593,19,.
chr1,25456898,25465031,19,.
chr1,25465372,25476983,13,.
chr1,25480340,25486547,15,.
chr1,25565689,25573644,3,.
chr1,25629155,25635196,17,.
chr1,25638743,25644852,19,.
chr1,25649253,25670114,18,.
chr1,25671691,25674292,2,.
chr1,25687670,25708542,8,.
chr1,25722016,25748016,26,.
chr1,25765098,25767601,2,.
chr1,25782023,25788440,8,.
chr1,25793901,25795101,2,.
chr1,25796286,25797422,3,.
chr1,25803353,25809600,4,.
chr1,25874310,25877112,5,.
chr1,25921749,25925764,23,.
chr1,25987473,25988123,2,.
chr1,25989174,25991074,2,.
chr1,26033382,26041295,16,.
chr1,26048437,26055464,4,.
chr1,26069854,26088434,22,.
chr1,26090628,26106330,26,yes
chr1,26117293,26129382,5,.
chr1,26163675,26166305,4,.
chr1,26223076,26227431,18,.
chr1,26457616,26461935,22,.
chr1,26498714,26503845,26,.
chr1,26615832,26623924,26,.
chr1,26676272,26678529,7,.
chr1,26703471,26708248,6,.
chr1,26721033,26725837,12,yes
chr1,26738301,26763068,25,.
chr1,26794317,26802987,22,.
chr1,26864152,26866691,18,.
chr1,26934654,26943119,21,.
chr1,26948319,26950130,5,.
chr1,26996968,27006050,4,.
chr1,27025515,27035459,23,.
chr1,27044371,27048030,3,.
chr1,27108808,27125364,22,.
chr1,27126213,27147040,18,.
chr1,27290238,27292740,3,.
chr1,27295088,27302676,23,.
chr1,27325417,27329862,4,.
chr1,27394459,27442389,24,.
chr1,27501477,27511093,26,.
chr1,27511999,27551748,23,.
chr1,27644273,27657691,15,.
chr1,27688401,27690661,5,.
chr1,27754946,27757031,3,.
chr1,27781692,27791512,23,.
chr1,27815302,27818925,9,.
chr1,27858026,27866486,9,.
chr1,27868739,27869841,2,.
chr1,27889481,27893177,3,.
chr1,27942173,27945922,9,.
chr1,27964891,27974479,8,.
chr1,27991095,27995292,2,.
chr1,28028431,28033464,2,.
chr1,28072038,28084056,21,.
chr1,28096873,28100489,16,.
chr1,28103672,28106843,7,.
chr1,28125733,28130238,3,.
chr1,28152750,28164890,16,.
chr1,28189967,28191752,4,.
chr1,28279272,28283879,6,.
chr1,28445389,28451078,4,.
chr1,28453161,28463378,19,.
chr1,28469661,28474098,4,.
chr1,28498194,28503498,5,.
chr1,28577071,28583381,25,.
chr1,28774486,28776119,5,.
chr1,28926133,28929697,12,.
chr1,28981590,28987922,20,.
chr1,29042281,29044404,11,.
chr1,29090715,29092405,3,.
chr1,29154307,29158358,11,.
chr1,29416437,29418354,6,.
chr1,29424747,29427739,2,.
chr1,29574828,29576079,4,.
chr1,29874494,29876842,7,.
chr1,29898533,29903440,18,.
chr1,29973464,29975356,3,.
chr1,30082125,30086538,18,.
chr1,30189936,30192648,9,.
chr1,30335409,30338150,7,.
chr1,30520352,30530332,26,.
chr1,30636571,30640725,9,.
chr1,30782601,30789204,20,.
chr1,30797080,30801106,16,.
chr1,30807096,30811413,5,.
chr1,30842237,30854427,26,.
chr1,30884681,30891351,19,.
chr1,30899794,30906557,9,.
chr1,31026526,31033343,4,.
chr1,31119649,31120994,4,.
chr1,31145276,31146937,3,.
chr1,31152210,31156671,22,.
chr1,31168867,31172201,20,.
chr1,31215126,31216737,3,.
chr1,31264317,31266416,5,.
chr1,31377935,31386214,21,.
chr1,31393576,31395828,17,.
chr1,31548219,31551575,22,.
chr1,31564271,31564881,2,.
chr1,31566153,31571201,4,.
chr1,31593565,31598799,15,.
chr1,31620993,31633640,12,.
chr1,31699496,31702606,2,.
chr1,31709638,31717533,26,.
chr1,31781042,31790412,25,.
chr1,31880177,31882029,3,.
chr1,31888848,31890744,5,.
chr1,31948621,31960634,26,.
chr1,31976871,31978687,5,.
chr1,32019271,32024753,3,.
chr1,32058534,32064432,5,.
chr1,32065000,32067669,14,.
chr1,32098736,32103145,10,.
chr1,32232410,32243960,25,.
chr1,32303542,32305026,3,.
chr1,32316175,32318680,8,.
chr1,32398326,32402435,21,.
chr1,32494360,32506569,26,.
chr1,32610141,32614094,21,.
chr1,32676007,32690101,15,.
chr1,32691852,32696329,10,.
chr1,32711024,32713627,15,.
chr1,32876679,32878697,3,.
chr1,32880744,32882950,15,.
chr1,32932191,32937446,15,.
chr1,32979425,32985962,21,.
chr1,32987044,33002949,24,.
chr1,33017307,33018284,3,.
chr1,33024557,33034306,18,.
chr1,33053898,33057349,24,.
chr1,33058729,33061994,4,.
chr1,33125342,33130286,26,.
chr1,33138794,33144881,6,.
chr1,33149109,33165413,25,.
chr1,33167174,33174801,16,.
chr1,33227453,33230826,10,.
chr1,33233481,33236400,13,.
chr1,33242572,33245960,5,.
chr1,33283488,33290153,5,.
chr1,33292878,33303568,6,.
chr1,33357248,33371713,13,.
chr1,33377119,33385700,7,.
chr1,33386647,33391460,6,.
chr1,33395724,33402705,16,.
chr1,33403632,33416172,23,.
chr1,33432561,33437639,9,.
chr1,33442871,33445621,12,.
chr1,33454420,33463971,25,.
chr1,33465234,33466773,2,.
chr1,33514172,33516828,10,.
chr1,33603707,33608255,19,.
chr1,33649318,33658313,4,.
chr1,33757589,33764445,8,.
chr1,33892312,33894846,7,.
chr1,33901888,33904599,5,.
chr1,33908046,33909735,5,.
chr1,33984132,33987851,8,.
chr1,34043305,34045801,10,.
chr1,34056193,34062757,16,.
chr1,34820971,34856814,25,.
chr1,34864133,34868547,25,.
chr1,35284916,35292097,4,.
chr1,35294317,35308798,22,.
chr1,35316701,35327133,21,.
chr1,35347534,35354145,11,.
chr1,35368432,35372207,9,.
chr1,35487036,35491151,7,.
chr1,35529374,35547766,23,.
chr1,35636087,35639867,11,.
chr1,35844535,35850458,2,.
chr1,35922826,35927055,4,.
chr1,36133114,36138825,16,.
chr1,36181895,36190990,26,.
chr1,36194532,36218733,26,.
chr1,36229563,36274641,20,.
chr1,36275565,36286015,3,.
chr1,36295402,36304305,10,.
chr1,36335891,36356183,14,.
chr1,36368813,36381563,11,.
chr1,36400363,36403606,8,.
chr1,36485531,36488090,4,.
chr1,37004301,37007609,11,.
chr1,37453124,37456487,18,.
chr1,37482765,37490192,15,.
chr1,37496281,37503004,9,.
chr1,37532783,37538768,14,.
chr1,37816953,37818285,3,.
chr1,37913710,37919470,13,.
chr1,37924985,37928457,3,.
chr1,38027688,38032107,19,.
chr1,38083791,38086530,8,.
chr1,38137513,38140699,8,.
chr1,38613331,38617483,7,.
chr1,38862115,38868428,5,.
chr1,38928270,38930218,7,.
chr1,38993615,39008865,20,.
chr1,39043403,39051684,26,.
chr1,39074519,39077507,16,.
chr1,39085244,39092795,12,.
chr1,39123879,39139709,25,.
chr1,39149109,39156723,15,.
chr1,39170511,39175759,13,.
chr1,39176776,39181060,13,.
chr1,39182304,39187014,7,.
chr1,39187327,39198795,26,.
chr1,39225976,39234413,6,.
chr1,39235424,39242005,4,.
chr1,39252008,39263773,7,.
chr1,39290071,39299283,11,.
chr1,39314678,39321438,9,.
chr1,39358127,39361581,2,.
chr1,39379867,39402870,24,.
chr1,39424523,39430390,4,.
chr1,39469948,39483162,11,.
chr1,39483455,39488249,10,.
chr1,39499015,39501570,11,.
chr1,39508414,39509968,3,.
chr1,39524857,39527275,5,.
chr1,39533845,39545213,25,.
chr1,39558582,39560751,7,.
chr1,39605396,39606796,5,.
chr1,39608362,39612193,7,.
chr1,39617181,39629838,12,.
chr1,39641652,39658183,17,.
chr1,39666878,39669944,5,.
chr1,39874991,39880516,9,.
chr1,39926206,39927817,3,.
chr1,39933221,39937539,8,.
chr1,39951181,39953435,2,.
chr1,40048938,40063986,19,.
chr1,40185982,40190300,6,.
chr1,40199201,40201281,3,.
chr1,40260718,40278128,20,.
chr1,40377211,40388325,17,.
chr1,40420134,40425698,6,.
chr1,40703622,40706802,2,.
chr1,40795932,40809737,18,.
chr1,40873906,40880813,15,.
chr1,40936742,40941018,5,.
chr1,40942160,40945832,14,.
chr1,41012301,41016789,15,.
chr1,41096609,41113648,26,.
chr1,41312891,41314346,2,.
chr1,41316560,41322269,22,.
chr1,41341216,41343497,3,.
chr1,41356775,41359678,2,.
chr1,41363701,41368343,6,.
chr1,41379136,41384791,22,.
chr1,41386301,41389473,10,.
chr1,41398001,41400528,3,.
chr1,41416155,41426469,20,.
chr1,41427180,41436198,25,.
chr1,41453372,41459250,14,.
chr1,41472748,41480869,23,.
chr1,41486027,41489648,11,.
chr1,41490024,41505941,26,.
chr1,41513701,41518311,3,.
chr1,41533530,41541793,21,.
chr1,41557662,41560923,18,.
chr1,41617623,41619132,6,.
chr1,41648642,41650688,2,.
chr1,41660819,41667567,25,.
chr1,41676722,41679123,9,.
chr1,41679996,41685598,17,.
chr1,41693717,41697762,5,.
chr1,41712299,41714142,6,.
chr1,41721979,41730366,7,.
chr1,41735501,41735858,2,.
chr1,41764122,41769717,6,.
chr1,41770893,41773653,3,.
chr1,41798578,41804636,8,.
chr1,41805440,41817248,26,.
chr1,41822208,41826231,13,.
chr1,41840579,41850112,16,.
chr1,41864641,41868012,3,.
chr1,41871955,41896966,25,.
chr1,41897202,41904316,10,.
chr1,41954979,41960678,19,.
chr1,42046228,42048198,13,.
chr1,42051950,42052960,4,.
chr1,42167506,42181227,26,.
chr1,42225164,42228371,2,.
chr1,42255962,42262512,13,.
chr1,42316997,42325606,11,.
chr1,42337937,42339769,2,.
chr1,42415568,42423802,20,.
chr1,42483996,42487727,4,.
chr1,42672509,42677722,19,.
chr1,42852583,42854306,2,.
chr1,42921289,42928709,26,.
chr1,42972311,42975717,11,.
chr1,42993370,42994410,2,.
chr1,43073100,43075079,3,.
chr1,43135573,43138820,10,.
chr1,43204006,43208195,26,.
chr1,43228455,43243432,21,.
chr1,43254422,43257439,7,.
chr1,43273289,43275798,10,.
chr1,43292370,43297758,4,.
chr1,43328124,43332296,22,.
chr1,43340816,43355082,26,.
chr1,43370004,43378366,20,.
chr1,43379108,43385132,16,.
chr1,43414342,43417152,2,.
chr1,43435134,43436552,2,.
chr1,43446539,43449830,8,.
chr1,43540157,43544052,14,.
chr1,43670861,43672385,2,.
chr1,43781876,43788791,15,.
chr1,43820777,43823136,5,.
chr1,43831555,43840010,11,.
chr1,43861433,43863379,3,.
chr1,43866491,43871502,15,.
chr1,43876796,43884588,22,.
chr1,44020744,44025244,6,.
chr1,44061603,44064092,2,.
chr1,44087902,44090571,7,.
chr1,44235435,44246547,25,.
chr1,44249177,44251751,5,.
chr1,44291689,44296638,20,.
chr1,44326908,44331085,3,.
chr1,44420841,44426206,14,.
chr1,44482598,44487599,25,.
chr1,44495903,44498197,4,.
chr1,44500305,44502568,6,.
chr1,44639401,44641519,3,.
chr1,44649351,44653139,3,.
chr1,44658126,44663014,17,.
chr1,44721393,44722289,2,.
chr1,44728345,44735148,26,.
chr1,44817016,44822145,13,.
chr1,44826101,44828216,9,.
chr1,44847864,44850652,3,.
chr1,44880526,44882240,3,.
chr1,44884393,44885266,2,.
chr1,44901991,44903806,3,.
chr1,44943714,44951397,20,.
chr1,44979239,44983419,2,.
chr1,45265072,45269608,12,.
chr1,45345743,45352757,21,.
chr1,45358841,45365480,23,.
chr1,45393837,45394751,3,.
chr1,45495399,45497159,3,.
chr1,45542050,45545401,3,.
chr1,45589274,45591992,8,.
chr1,45640120,45651339,13,.
chr1,45672019,45684644,9,.
chr1,45889417,45895114,25,.
chr1,45917307,45926997,6,.
chr1,45950487,45958356,6,.
chr1,45965474,45966421,3,.
chr1,45969120,45972478,2,.
chr1,45997277,45999317,2,.
chr1,46081066,46088718,6,.
chr1,46147719,46153523,26,.
chr1,46210473,46212450,3,.
chr1,46346681,46348775,4,.
chr1,46369472,46370646,2,.
chr1,46601652,46602561,2,.
chr1,46605586,46608360,2,.
chr1,46621945,46625689,5,.
chr1,46633088,46642001,14,.
chr1,46720810,46725320,9,.
chr1,46747862,46753202,18,.
chr1,46771515,46773754,14,.
chr1,46818152,46821212,10,.
chr1,46822223,46825019,12,.
chr1,47026460,47033368,9,.
chr1,47209819,47217418,16,.
chr1,47233975,47237544,9,.
chr1,47240495,47244213,14,.
chr1,47295635,47300684,25,.
chr1,47337903,47339563,3,.
chr1,47532692,47535081,5,.
chr1,47576620,47580395,12,.
chr1,47587326,47590652,13,.
chr1,47650578,47658499,15,.
chr1,47833541,47842972,8,.
chr1,47932791,47940844,9,.
chr1,47983761,47989020,16,.
chr1,48017057,48020689,2,.
chr1,48159045,48162561,5,.
chr1,48213711,48217185,3,.
chr1,48244397,48247094,9,.
chr1,48413365,48416455,2,.
chr1,48493359,48495379,3,.
chr1,48610578,48611543,5,.
chr1,50264491,50267698,6,.
chr1,50827785,50831161,14,.
chr1,50973836,50986913,8,.
chr1,51239191,51242277,7,.
chr1,51263652,51266157,6,.
chr1,51407757,51419762,13,.
chr1,51430203,51436941,12,.
chr1,51469386,51474578,11,.
chr1,51482948,51493081,19,.
chr1,51503961,51510776,8,.
chr1,51559948,51565822,6,.
chr1,51571269,51572974,6,.
