"","clusters"
"GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING",29
"GOBP_ACTIN_NUCLEATION",30
"GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY",31
"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",32
"GOBP_ACTION_POTENTIAL",33
"GOBP_ACTIVATED_T_CELL_PROLIFERATION",34
"GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS",35
"GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY",36
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",37
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",38
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C",39
"GOBP_ACTIVATION_OF_GTPASE_ACTIVITY",40
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",41
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",42
"GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY",43
"GOBP_ACTIVATION_OF_MEIOSIS",44
"GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY",45
"GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY",46
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY",47
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY",48
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_C_ACTIVITY",49
"GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY",50
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY",51
"GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION",52
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION",25
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",53
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",54
"GOBP_ACUTE_PHASE_RESPONSE",53
"GOBP_ACYLGLYCEROL_HOMEOSTASIS",55
"GOBP_ACYLGLYCEROL_TRANSPORT",56
"GOBP_ADAPTATION_OF_SIGNALING_PATHWAY",57
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",58
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",58
"GOBP_ADAPTIVE_THERMOGENESIS",59
"GOBP_ADENINE_TRANSPORT",60
"GOBP_ADENOHYPOPHYSIS_DEVELOPMENT",61
"GOBP_ADENOSINE_METABOLIC_PROCESS",62
"GOBP_ADENOSINE_TO_INOSINE_EDITING",63
"GOBP_ADENOSINE_TRANSPORT",64
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY",65
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS",66
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",67
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",68
"GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",69
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY",70
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",71
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",72
"GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY",73
"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",68
"GOBP_ADHERENS_JUNCTION_ASSEMBLY",74
"GOBP_ADHERENS_JUNCTION_MAINTENANCE",75
"GOBP_ADHERENS_JUNCTION_ORGANIZATION",76
"GOBP_ADHESION_OF_SYMBIONT_TO_HOST",77
"GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL",77
"GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY",78
"GOBP_ADIPOSE_TISSUE_DEVELOPMENT",79
"GOBP_ADP_BIOSYNTHETIC_PROCESS",80
"GOBP_ADP_METABOLIC_PROCESS",80
"GOBP_ADP_TRANSPORT",81
"GOBP_ADRENAL_GLAND_DEVELOPMENT",82
"GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY",65
"GOBP_ADULT_BEHAVIOR",83
"GOBP_ADULT_FEEDING_BEHAVIOR",84
"GOBP_ADULT_HEART_DEVELOPMENT",85
"GOBP_ADULT_LOCOMOTORY_BEHAVIOR",83
"GOBP_AEROBIC_RESPIRATION",86
"GOBP_AGGREPHAGY",87
"GOBP_AGGRESOME_ASSEMBLY",88
"GOBP_AGGRESSIVE_BEHAVIOR",89
"GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY",90
"GOBP_ALANINE_TRANSPORT",91
"GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS",92
"GOBP_ALCOHOL_CATABOLIC_PROCESS",93
"GOBP_ALCOHOL_METABOLIC_PROCESS",94
"GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS",95
"GOBP_ALDEHYDE_CATABOLIC_PROCESS",96
"GOBP_ALDITOL_BIOSYNTHETIC_PROCESS",97
"GOBP_ALDITOL_CATABOLIC_PROCESS",98
"GOBP_ALDITOL_METABOLIC_PROCESS",99
"GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS",100
"GOBP_ALKALOID_METABOLIC_PROCESS",101
"GOBP_ALLANTOIN_METABOLIC_PROCESS",102
"GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS",103
"GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS",103
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",104
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",104
"GOBP_ALPHA_BETA_T_CELL_PROLIFERATION",105
"GOBP_ALPHA_KETOGLUTARATE_TRANSPORT",106
"GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS",107
"GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",108
"GOBP_AMACRINE_CELL_DIFFERENTIATION",109
"GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION",110
"GOBP_AMELOBLAST_DIFFERENTIATION",111
"GOBP_AMELOGENESIS",112
"GOBP_AMIDE_BIOSYNTHETIC_PROCESS",113
"GOBP_AMIDE_CATABOLIC_PROCESS",114
"GOBP_AMIDE_METABOLIC_PROCESS",113
"GOBP_AMIDE_TRANSPORT",115
"GOBP_AMINE_BIOSYNTHETIC_PROCESS",116
"GOBP_AMINE_CATABOLIC_PROCESS",117
"GOBP_AMINE_METABOLIC_PROCESS",118
"GOBP_AMINE_TRANSPORT",119
"GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY",120
"GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS",121
"GOBP_AMINOGLYCAN_CATABOLIC_PROCESS",122
"GOBP_AMINOGLYCAN_METABOLIC_PROCESS",121
"GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS",123
"GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION",124
"GOBP_AMINOPHOSPHOLIPID_TRANSPORT",124
"GOBP_AMINO_ACID_ACTIVATION",125
"GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS",126
"GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS",127
"GOBP_AMINO_ACID_BETAINE_TRANSPORT",128
"GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS",129
"GOBP_AMINO_ACID_CATABOLIC_PROCESS",103
"GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE",130
"GOBP_AMINO_ACID_METABOLIC_PROCESS",103
"GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE",131
"GOBP_AMINO_ACID_SALVAGE",132
"GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT",130
"GOBP_AMINO_ACID_TRANSPORT",130
"GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS",133
"GOBP_AMINO_SUGAR_CATABOLIC_PROCESS",134
"GOBP_AMINO_SUGAR_METABOLIC_PROCESS",135
"GOBP_AMMONIUM_HOMEOSTASIS",136
"GOBP_AMMONIUM_ION_METABOLIC_PROCESS",137
"GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT",136
"GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING",138
"GOBP_AMP_BIOSYNTHETIC_PROCESS",139
"GOBP_AMP_CATABOLIC_PROCESS",62
"GOBP_AMP_METABOLIC_PROCESS",139
"GOBP_AMP_SALVAGE",140
"GOBP_AMYGDALA_DEVELOPMENT",141
"GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY",142
"GOBP_AMYLOID_BETA_CLEARANCE",143
"GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS",144
"GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS",145
"GOBP_AMYLOID_BETA_METABOLIC_PROCESS",146
"GOBP_AMYLOID_FIBRIL_FORMATION",147
"GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS",148
"GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",146
"GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS",146
"GOBP_ANAGEN",149
"GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS",150
"GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT",151
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",152
"GOBP_ANATOMICAL_STRUCTURE_MATURATION",153
"GOBP_ANATOMICAL_STRUCTURE_REGRESSION",154
"GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS",155
"GOBP_ANDROGEN_CATABOLIC_PROCESS",156
"GOBP_ANDROGEN_METABOLIC_PROCESS",155
"GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",157
"GOBP_ANGIOGENESIS_INVOLVED_IN_CORONARY_VASCULAR_MORPHOGENESIS",158
"GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING",159
"GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY",160
"GOBP_ANIMAL_ORGAN_FORMATION",161
"GOBP_ANIMAL_ORGAN_MATURATION",162
"GOBP_ANIMAL_ORGAN_MORPHOGENESIS",163
"GOBP_ANIMAL_ORGAN_REGENERATION",164
"GOBP_ANOIKIS",165
"GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS",166
"GOBP_ANTERIOR_HEAD_DEVELOPMENT",167
"GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION",168
"GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE",169
"GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION",170
"GOBP_ANTEROGRADE_AXONAL_TRANSPORT",171
"GOBP_ANTEROGRADE_AXONAL_TRANSPORT_OF_MITOCHONDRION",172
"GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT",173
"GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT_OF_NEUROTRANSMITTER_RECEPTOR_COMPLEX",173
"GOBP_ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT",174
"GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE",175
"GOBP_ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE",176
"GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION",177
"GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY",178
"GOBP_ANTIFUNGAL_HUMORAL_RESPONSE",179
"GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE",180
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",181
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB",182
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",183
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN",183
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",184
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",184
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",185
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",184
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB",182
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",181
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",183
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB",183
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",184
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB",183
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",186
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",187
"GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",187
"GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION",177
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",188
"GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH",189
"GOBP_AORTA_DEVELOPMENT",190
"GOBP_AORTA_MORPHOGENESIS",190
"GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS",191
"GOBP_AORTIC_VALVE_MORPHOGENESIS",192
"GOBP_APICAL_JUNCTION_ASSEMBLY",193
"GOBP_APICAL_PROTEIN_LOCALIZATION",194
"GOBP_APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY",195
"GOBP_APOPTOTIC_CELL_CLEARANCE",196
"GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION",197
"GOBP_APOPTOTIC_DNA_FRAGMENTATION",198
"GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES",199
"GOBP_APOPTOTIC_PROCESS",200
"GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS",201
"GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT",202
"GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS",203
"GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS",202
"GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL",204
"GOBP_APOPTOTIC_SIGNALING_PATHWAY",205
"GOBP_APPENDAGE_DEVELOPMENT",206
"GOBP_APPENDAGE_MORPHOGENESIS",206
"GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS",207
"GOBP_ARACHIDONIC_ACID_SECRETION",208
"GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION",209
"GOBP_ARGININE_BIOSYNTHETIC_PROCESS",210
"GOBP_ARGININE_CATABOLIC_PROCESS",211
"GOBP_ARGININE_METABOLIC_PROCESS",211
"GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS",212
"GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS",213
"GOBP_AROMATIC_AMINO_ACID_TRANSPORT",214
"GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION",30
"GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION",215
"GOBP_ARTERY_DEVELOPMENT",190
"GOBP_ARTERY_MORPHOGENESIS",190
"GOBP_ARTICULAR_CARTILAGE_DEVELOPMENT",216
"GOBP_ASCENDING_AORTA_DEVELOPMENT",217
"GOBP_ASPARAGINE_METABOLIC_PROCESS",218
"GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS",219
"GOBP_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS",220
"GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS",221
"GOBP_ASPARTATE_METABOLIC_PROCESS",222
"GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT",223
"GOBP_ASSOCIATIVE_LEARNING",224
"GOBP_ASTRAL_MICROTUBULE_ORGANIZATION",225
"GOBP_ASTROCYTE_ACTIVATION",226
"GOBP_ASTROCYTE_CELL_MIGRATION",227
"GOBP_ASTROCYTE_DEVELOPMENT",226
"GOBP_ASTROCYTE_DIFFERENTIATION",228
"GOBP_ASYMMETRIC_CELL_DIVISION",229
"GOBP_ASYMMETRIC_NEUROBLAST_DIVISION",230
"GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE",231
"GOBP_ATP_BIOSYNTHETIC_PROCESS",232
"GOBP_ATP_METABOLIC_PROCESS",232
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",86
"GOBP_ATP_TRANSPORT",81
"GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",233
"GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_COMMUNICATION",234
"GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",235
"GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS",236
"GOBP_ATRIAL_SEPTUM_DEVELOPMENT",237
"GOBP_ATRIAL_SEPTUM_MORPHOGENESIS",237
"GOBP_ATRIOVENTRICULAR_CANAL_DEVELOPMENT",238
"GOBP_ATRIOVENTRICULAR_NODE_DEVELOPMENT",239
"GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT",240
"GOBP_ATRIOVENTRICULAR_VALVE_FORMATION",241
"GOBP_ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN",242
"GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE",243
"GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",243
"GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT",244
"GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS",244
"GOBP_AUTOCRINE_SIGNALING",245
"GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT",246
"GOBP_AUTOPHAGIC_CELL_DEATH",247
"GOBP_AUTOPHAGOSOME_LYSOSOME_FUSION",248
"GOBP_AUTOPHAGOSOME_MATURATION",249
"GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING",250
"GOBP_AUTOPHAGOSOME_ORGANIZATION",251
"GOBP_AUTOPHAGY_OF_MITOCHONDRION",252
"GOBP_AUTOPHAGY_OF_PEROXISOME",253
"GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION",254
"GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING",254
"GOBP_AXIAL_MESODERM_DEVELOPMENT",255
"GOBP_AXIS_ELONGATION",256
"GOBP_AXIS_SPECIFICATION",168
"GOBP_AXONAL_FASCICULATION",257
"GOBP_AXONAL_TRANSPORT",171
"GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION",258
"GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY",259
"GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY",260
"GOBP_AXONEME_ASSEMBLY",261
"GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION",262
"GOBP_AXON_CHOICE_POINT_RECOGNITION",263
"GOBP_AXON_DEVELOPMENT",264
"GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM",265
"GOBP_AXON_EXTENSION",266
"GOBP_AXON_GUIDANCE",267
"GOBP_AXON_MIDLINE_CHOICE_POINT_RECOGNITION",263
"GOBP_AXO_DENDRITIC_PROTEIN_TRANSPORT",268
"GOBP_AXO_DENDRITIC_TRANSPORT",171
"GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT",269
"GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING",26
"GOBP_BASEMENT_MEMBRANE_ASSEMBLY",270
"GOBP_BASEMENT_MEMBRANE_ORGANIZATION",271
"GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING",272
"GOBP_BASE_EXCISION_REPAIR",273
"GOBP_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",274
"GOBP_BASE_EXCISION_REPAIR_GAP_FILLING",273
"GOBP_BASIC_AMINO_ACID_TRANSPORT",275
"GOBP_BASOLATERAL_PROTEIN_SECRETION",276
"GOBP_BEHAVIOR",277
"GOBP_BEHAVIORAL_RESPONSE_TO_COCAINE",278
"GOBP_BEHAVIORAL_RESPONSE_TO_ETHANOL",279
"GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE",280
"GOBP_BEHAVIORAL_RESPONSE_TO_PAIN",281
"GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS",282
"GOBP_BERGMANN_GLIAL_CELL_DIFFERENTIATION",283
"GOBP_BICARBONATE_TRANSPORT",284
"GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT",285
"GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS",286
"GOBP_BILE_ACID_METABOLIC_PROCESS",286
"GOBP_BILE_ACID_SECRETION",287
"GOBP_BILE_ACID_SIGNALING_PATHWAY",288
"GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA",289
"GOBP_BIOGENIC_AMINE_METABOLIC_PROCESS",118
"GOBP_BIOLOGICAL_PHASE",149
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST",290
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT",291
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",292
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS",293
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION",290
"GOBP_BIOMINERAL_TISSUE_DEVELOPMENT",294
"GOBP_BLASTOCYST_DEVELOPMENT",295
"GOBP_BLASTOCYST_FORMATION",296
"GOBP_BLASTOCYST_GROWTH",297
"GOBP_BLASTODERM_SEGMENTATION",298
"GOBP_BLEB_ASSEMBLY",299
"GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION",300
"GOBP_BLOOD_COAGULATION_INTRINSIC_PATHWAY",300
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_DIFFERENTIATION",215
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",301
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",302
"GOBP_BLOOD_VESSEL_MATURATION",303
"GOBP_BLOOD_VESSEL_MORPHOGENESIS",152
"GOBP_BLOOD_VESSEL_REMODELING",304
"GOBP_BODY_FLUID_SECRETION",305
"GOBP_BODY_MORPHOGENESIS",306
"GOBP_BONE_CELL_DEVELOPMENT",307
"GOBP_BONE_DEVELOPMENT",308
"GOBP_BONE_GROWTH",309
"GOBP_BONE_MARROW_DEVELOPMENT",310
"GOBP_BONE_MATURATION",162
"GOBP_BONE_MINERALIZATION",294
"GOBP_BONE_MINERALIZATION_INVOLVED_IN_BONE_MATURATION",311
"GOBP_BONE_MORPHOGENESIS",312
"GOBP_BONE_REMODELING",313
"GOBP_BONE_RESORPTION",313
"GOBP_BONE_TRABECULA_FORMATION",314
"GOBP_BONE_TRABECULA_MORPHOGENESIS",314
